id,relacionados,name,description,precio,imagen,categorias,linkPago,subcategorias,oferta
198,197 195 193 192 190,Juego Sabana King Size 150 H Dohler,"Juego de sabanas estampada dohler king size - 150 hilos. 100% algodón - gramaje: 90g/m². Tacto suave, excelente calidad. Medidas sabana ajustabl e: 193 x 203 + 40cm, sabana superior: 290 x 290cm - funda: 50 x 70cm (x2).",5,https://nuvex.uy/image/catalog/CATEGORIAS/CAMA/CAMP%204/7891497055788.jpg,Cama,,Sábanas,
197,198 193 192 184 176,Juego Sabana King Size 130 H Dohler,Cod or:&nbsp; 7730784145156&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp; &nbsp;&nbsp; &nbsp; &nbsp;&nbsp;. Juego de sabanas 100% algodón - 180hilos super. King size - sabana ajustable: 200x200+40cm. Sabana superior: 280x300cm. 2 fundas: 50x70cm.,5,https://nuvex.uy/image/catalog/CATEGORIAS/CAMA/7891497055771.jpg,Cama,,Sábanas,
195,198 193 192 188 184 176,Juego Sabana Queen 150h E Dohler,"Juego de sabanas dohler queen size - 150 hilos. 100% algodón - gramaje: 90g/m². Tacto suave, excelente calidad. Medidas sabana ajustable: 158 x 198 + 40cm, sabana superior: 250 x 270cm - funda: 50 x 70cm (x2).",4,https://nuvex.uy/image/catalog/CATEGORIAS/CAMA/CAMP%204/7900033037147%20-%207900033037130%20(1).jpg,Cama,,Sábanas,
196,191,Colcha Dohler Queen C/funda,"Cod or:&nbsp; 7891497871869&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp;. Almohada 2 conmfortos. Medidas : 50x70cm, altura: 12cm. Toque masajeador. Anti ácaros y moho. No alimenta ni aloja ácaros o moho por ser lavable. Canales disipadores de calor. Se puede lavar en lavars.",4,https://nuvex.uy/image/catalog/CATEGORIAS/CAMA/CAMP%204/7891497872156%20-%207891497872149%20-%207891497871869%20(1).jpg,Cama,,Colchas,
150,149 189 187 186,Juego Sabana King 180h Home Class Estampada,Juego de sabanas 100% algodón - 180hilos estampada. King size - sabana ajustable: 180x200+40cm. Sabana superior: 260x260cm. 2 fundas: 50x70cm.,4,https://nuvex.uy/image/catalog/CATEGORIAS/CAMA/CAMP%204/7730784167066%20-%207730784167080%20-%207730784167103%20-%207730784167127%20(1).jpg,Cama,,Sábanas,
149,150 189 187 186 178,Juego Sabana King 180h Home Class,Juego de sabanas 100% algodón - 180hilos. King size - sabana ajustable: 180x200+40cm. Sabana superior: 260x260cm. 2 fundas: 50x70cm.,4,https://nuvex.uy/image/catalog/CATEGORIAS/CAMA/CAMP%204/7730784145071%20-%207730784145095%20-%207730784145118%20-%207730784145132%20(1).jpg,Cama,,Sábanas,
194,,Colcha Dohler Full,Cubrecama piquet de 2 plazas full confeccionado por dohler. Incluye: 1 colcha de 220 cm ancho x 250 cm largo y 2 fundas de 70 cm largo x 50 cm ancho. Confeccionado en 100% algodón ideal para la media estación y proteger la cama durante el día.,4,https://nuvex.uy/image/catalog/CATEGORIAS/CAMA/CAMP%204/7891497871814%20-%207891497871807%20(1).jpg,Cama,,Colchas,
193,198 197 195 192 188 177 156,Juego Sabana Queen Size 200 H Dohler,"Cod or:&nbsp; 7891497135329&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp; &nbsp;&nbsp; &nbsp; &nbsp;&nbsp;. Juego de sabanas estampada dohler queen size - 200 hilos. 100% algodón - gramaje: 112g/m². Tacto suave, excelente calidad. Medidas sabana ajustable: 158 x 198 + 40cm, sabana superior: 250 x 270cm - funda: 50 x 70cm (x2).",4,https://nuvex.uy/image/catalog/CATEGORIAS/CAMA/CAMP%204/7891497135343%20-%207891497135329.jpg,Cama,,Sábanas,
192,198 197 195 193 187 188 156,Juego Sabana Queen Size 180 H Dohler,"Cod or:&nbsp; 7891497135770&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp; &nbsp;&nbsp; &nbsp; &nbsp;&nbsp;. Juego de sabanas estampada dohler queen size - 180 hilos. 100% algodón - gramaje: 110g/m². Tacto suave, excelente calidad. Medidas sabana ajustable: 158 x 198 + 40cm, sabana superior: 250 x 270cm - funda: 50 x 70cm (x2).",4,https://nuvex.uy/image/catalog/CATEGORIAS/CAMA/CAMP%204/7891497135770.jpg,Cama,,Sábanas,
191,196,Colcha Dohler Queen Size C/funda,"Colcha lisa con funda dohler tamaño queen size. Material: 100% polyester - super suave, excelente calidad -. Medida colcha: 220x260cm - medida funda: 50x70cm (x2).",4,https://nuvex.uy/image/catalog/CATEGORIAS/CAMA/CAMP%204/7891497029796.jpg,Cama,,Colchas,
